Tested device: RUTX11
Register address,Representation,Expected value,Decoded value,Passed the test
0,uint32,901,901,True
2,int32,-77,-77,True
4,int32,310,300,False
6,text,RUTX11,RUTX11,True
22,text,TAVO BITE BITE,TAVO BITE BITE,True
38,text,,1114919838,False
54,text,001E423C0F3E,001E423C0F3E,True
70,text,RUTX11,RUTX11,True
86,text,,sim1,False
102,text,"Registered, home","Registered, home",True
118,text,LTE,LTE,True
134,int32,,,False
136,int32,,,False
138,uint32,,10.12.160.212,False
140,int32,,,False
142,float32,,,False
144,float32,,,False
146,text,,,False
178,int32,,,False
180,int32,,,False
182,float32,,,False
184,uint32,1876223,155503,False
186,uint32,1615730,111437,False
188,uint32,,2094739,False
190,uint32,,1823787,False
192,uint32,,20274896,False
194,uint32,,16597199,False
196,uint32,,1876223,False
198,uint32,,1615730,False
200,uint16,,,False
201,uint16,,,False
204,uint16,1,1,True
291,uint32,9604035,9604035,True
293,uint32,6305380,6305380,True
295,uint32,,20274896,False
297,uint32,,16597199,False
299,uint32,0,0,True
301,uint32,0,0,True
303,uint32,,0,False
305,uint32,,0,False
307,uint32,,24648,False
309,uint32,,26403,False
311,uint32,,0,False
313,uint32,,0,False
315,uint32,24648,24648,True
317,uint32,26403,26403,True
319,uint32,,24648,False
321,uint32,,26403,False
323,uint16,,0,False
324,uint16,,0,False
347,text,246020102487106,246020102487106,True
